Environment,Subject,Action,Start,End,Length
E01,S01,A09,68,82,14
E01,S01,A09,83,98,15
E01,S01,A09,99,114,15
E01,S01,A09,115,129,14
E01,S01,A09,130,144,14
E01,S01,A09,145,160,15
E01,S01,A09,161,175,14
E01,S01,A09,176,191,15
E01,S01,A09,192,207,15
E01,S01,A09,208,223,15
E01,S01,A09,224,238,14
E01,S01,A09,239,255,16
E01,S01,A09,256,272,16
E01,S01,A09,273,288,15
E01,S01,A10,1,13,12
E01,S01,A10,14,29,15
E01,S01,A10,30,44,14
E01,S01,A10,45,61,16
E01,S01,A10,62,75,13
E01,S01,A10,76,89,13
E01,S01,A10,90,106,16
E01,S01,A10,107,121,14
E01,S01,A10,122,138,16
E01,S01,A10,139,154,15
E01,S01,A10,155,170,15
E01,S01,A10,171,187,16
E01,S01,A10,188,205,17
E01,S01,A10,206,222,16
E01,S01,A10,223,240,17
E01,S01,A10,241,257,16
E01,S01,A10,258,275,17
E01,S01,A10,276,292,16
E01,S01,A11,1,14,13
E01,S01,A11,15,31,16
E01,S01,A11,32,48,16
E01,S01,A11,49,66,17
E01,S01,A11,67,82,15
E01,S01,A11,83,100,17
E01,S01,A11,101,119,18
E01,S01,A11,120,137,17
E01,S01,A11,138,155,17
E01,S01,A11,156,173,17
E01,S01,A11,174,192,18
E01,S01,A11,193,211,18
E01,S01,A11,212,229,17
E01,S01,A11,230,247,17
E01,S01,A11,248,265,17
E01,S01,A11,266,283,17
E01,S01,A12,1,15,14
E01,S01,A12,16,35,19
E01,S01,A12,36,59,23
E01,S01,A12,60,79,19
E01,S01,A12,80,102,22
E01,S01,A12,103,125,22
E01,S01,A12,126,149,23
E01,S01,A12,150,171,21
E01,S01,A12,172,192,20
E01,S01,A12,193,213,20
E01,S01,A12,214,236,22
E01,S01,A12,237,258,21
E01,S01,A12,259,279,20
E01,S01,A12,280,297,17
E01,S01,A13,1,21,20
E01,S01,A13,22,35,13
E01,S01,A13,36,52,16
E01,S01,A13,53,67,14
E01,S01,A13,68,82,14
E01,S01,A13,83,99,16
E01,S01,A13,100,115,15
E01,S01,A13,116,131,15
E01,S01,A13,132,148,16
E01,S01,A13,149,163,14
E01,S01,A13,164,179,15
E01,S01,A13,180,195,15
E01,S01,A13,196,210,14
E01,S01,A13,211,226,15
E01,S01,A13,227,242,15
E01,S01,A13,243,257,14
E01,S01,A13,258,271,13
E01,S01,A13,272,288,16
E01,S01,A14,11,26,15
E01,S01,A14,27,43,16
E01,S01,A14,44,58,14
E01,S01,A14,59,74,15
E01,S01,A14,75,90,15
E01,S01,A14,91,106,15
E01,S01,A14,107,123,16
E01,S01,A14,124,141,17
E01,S01,A14,142,159,17
E01,S01,A14,160,176,16
E01,S01,A14,177,193,16
E01,S01,A14,194,211,17
E01,S01,A14,212,229,17
E01,S01,A14,230,247,17
E01,S01,A14,248,264,16
E01,S01,A14,265,282,17
E01,S01,A15,1,18,17
E01,S01,A15,19,43,24
E01,S01,A15,44,65,21
E01,S01,A15,66,89,23
E01,S01,A15,90,115,25
E01,S01,A15,116,142,26
E01,S01,A15,143,168,25
E01,S01,A15,169,194,25
E01,S01,A15,195,221,26
E01,S01,A15,222,248,26
E01,S01,A15,249,276,27
E01,S01,A16,1,17,16
E01,S01,A16,18,39,21
E01,S01,A16,40,63,23
E01,S01,A16,64,87,23
E01,S01,A16,88,112,24
E01,S01,A16,113,137,24
E01,S01,A16,138,161,23
E01,S01,A16,162,187,25
E01,S01,A16,188,211,23
E01,S01,A16,212,238,26
E01,S01,A16,239,262,23
E01,S01,A16,263,291,28
E01,S01,A17,1,13,12
E01,S01,A17,24,34,10
E01,S01,A17,45,55,10
E01,S01,A17,56,66,10
E01,S01,A17,67,77,10
E01,S01,A17,88,98,10
E01,S01,A17,99,110,11
E01,S01,A17,111,121,10
E01,S01,A17,122,134,12
E01,S01,A17,135,147,12
E01,S01,A17,148,158,10
E01,S01,A17,159,170,11
E01,S01,A17,171,182,11
E01,S01,A17,183,194,11
E01,S01,A17,195,205,10
E01,S01,A17,206,217,11
E01,S01,A17,218,228,10
E01,S01,A17,229,240,11
E01,S01,A17,241,251,10
E01,S01,A17,252,263,11
E01,S01,A17,264,275,11
E01,S01,A17,276,287,11
E01,S01,A18,1,12,11
E01,S01,A18,13,24,11
E01,S01,A18,25,35,10
E01,S01,A18,36,46,10
E01,S01,A18,47,58,11
E01,S01,A18,59,69,10
E01,S01,A18,70,81,11
E01,S01,A18,82,93,11
E01,S01,A18,94,104,10
E01,S01,A18,105,115,10
E01,S01,A18,116,127,11
E01,S01,A18,128,139,11
E01,S01,A18,140,150,10
E01,S01,A18,151,162,11
E01,S01,A18,163,173,10
E01,S01,A18,174,186,12
E01,S01,A18,187,197,10
E01,S01,A18,198,208,10
E01,S01,A18,209,219,10
E01,S01,A18,220,230,10
E01,S01,A18,231,242,11
E01,S01,A18,243,254,11
E01,S01,A18,255,265,10
E01,S01,A18,266,277,11
E01,S01,A18,278,289,11
E01,S01,A19,1,18,17
E01,S01,A19,19,34,15
E01,S01,A19,35,52,17
E01,S01,A19,53,71,18
E01,S01,A19,72,91,19
E01,S01,A19,92,112,20
E01,S01,A19,113,131,18
E01,S01,A19,170,190,20
E01,S01,A19,191,211,20
E01,S01,A19,212,231,19
E01,S01,A19,232,251,19
E01,S01,A19,252,271,19
E01,S01,A19,272,293,21
E01,S01,A20,1,22,21
E01,S01,A20,23,46,23
E01,S01,A20,47,70,23
E01,S01,A20,71,90,19
E01,S01,A20,91,114,23
E01,S01,A20,115,138,23
E01,S01,A20,139,162,23
E01,S01,A20,163,186,23
E01,S01,A20,187,209,22
E01,S01,A20,210,232,22
E01,S01,A20,233,255,22
E01,S01,A20,256,278,22
E01,S01,A21,1,16,15
E01,S01,A21,17,37,20
E01,S01,A21,38,62,24
E01,S01,A21,63,83,20
E01,S01,A21,84,107,23
E01,S01,A21,108,130,22
E01,S01,A21,131,150,19
E01,S01,A21,151,173,22
E01,S01,A21,174,196,22
E01,S01,A21,197,218,21
E01,S01,A21,219,241,22
E01,S01,A21,242,264,22
E01,S01,A21,265,287,22
E01,S01,A22,1,22,21
E01,S01,A22,23,44,21
E01,S01,A22,45,62,17
E01,S01,A22,63,81,18
E01,S01,A22,82,101,19
E01,S01,A22,102,121,19
E01,S01,A22,122,142,20
E01,S01,A22,143,161,18
E01,S01,A22,162,183,21
E01,S01,A22,184,204,20
E01,S01,A22,205,224,19
E01,S01,A22,225,245,20
E01,S01,A22,246,266,20
E01,S01,A22,267,286,19
E01,S01,A23,1,23,22
E01,S01,A23,24,42,18
E01,S01,A23,43,59,16
E01,S01,A23,60,79,19
E01,S01,A23,80,98,18
E01,S01,A23,99,120,21
E01,S01,A23,121,141,20
E01,S01,A23,142,158,16
E01,S01,A23,159,179,20
E01,S01,A23,180,199,19
E01,S01,A23,200,220,20
E01,S01,A23,221,240,19
E01,S01,A23,241,263,22
E01,S01,A23,264,281,17
E01,S01,A24,8,21,13
E01,S01,A24,22,35,13
E01,S01,A24,36,49,13
E01,S01,A24,50,63,13
E01,S01,A24,64,78,14
E01,S01,A24,79,93,14
E01,S01,A24,94,109,15
E01,S01,A24,110,123,13
E01,S01,A24,124,139,15
E01,S01,A24,140,153,13
E01,S01,A24,154,169,15
E01,S01,A24,170,188,18
E01,S01,A24,189,204,15
E01,S01,A24,205,219,14
E01,S01,A24,220,234,14
E01,S01,A24,235,249,14
E01,S01,A24,250,266,16
E01,S01,A24,267,283,16
E01,S01,A24,284,297,13
E01,S01,A25,1,22,21
E01,S01,A25,23,37,14
E01,S01,A25,38,52,14
E01,S01,A25,53,68,15
E01,S01,A25,69,83,14
E01,S01,A25,84,98,14
E01,S01,A25,99,114,15
E01,S01,A25,115,129,14
E01,S01,A25,130,145,15
E01,S01,A25,146,160,14
E01,S01,A25,161,176,15
E01,S01,A25,177,189,12
E01,S01,A25,190,204,14
E01,S01,A25,205,221,16
E01,S01,A25,222,237,15
E01,S01,A25,238,252,14
E01,S01,A25,253,270,17
E01,S01,A25,271,288,17
E01,S01,A26,119,129,10
E01,S01,A26,169,179,10
E01,S01,A26,219,229,10
E01,S01,A26,250,260,10
E01,S01,A26,281,291,10
E01,S01,A27,1,19,18
E01,S01,A27,20,42,22
E01,S01,A27,43,65,22
E01,S01,A27,66,89,23
E01,S01,A27,90,113,23
E01,S01,A27,114,138,24
E01,S01,A27,139,167,28
E01,S01,A27,168,192,24
E01,S01,A27,193,217,24
E01,S01,A27,218,245,27
E01,S01,A27,246,267,21
E01,S01,A27,268,297,29
E01,S02,A04,1,15,14
E01,S02,A04,16,31,15
E01,S02,A04,32,49,17
E01,S02,A04,50,69,19
E01,S02,A04,70,90,20
E01,S02,A04,91,110,19
E01,S02,A04,111,129,18
E01,S02,A04,130,149,19
E01,S02,A04,150,170,20
E01,S02,A04,171,190,19
E01,S02,A04,191,210,19
E01,S02,A04,211,234,23
E01,S02,A04,235,256,21
E01,S02,A04,257,279,22
E01,S02,A05,1,15,14
E01,S02,A05,16,34,18
E01,S02,A05,35,54,19
E01,S02,A05,55,73,18
E01,S02,A05,74,95,21
E01,S02,A05,96,119,23
E01,S02,A05,120,140,20
E01,S02,A05,141,161,20
E01,S02,A05,162,182,20
E01,S02,A05,183,203,20
E01,S02,A05,204,223,19
E01,S02,A05,224,242,18
E01,S02,A05,243,261,18
E01,S02,A05,262,279,17
E01,S02,A05,280,297,17
E01,S02,A07,1,14,13
E01,S02,A07,15,32,17
E01,S02,A07,33,50,17
E01,S02,A07,51,68,17
E01,S02,A07,69,88,19
E01,S02,A07,89,106,17
E01,S02,A07,107,125,18
E01,S02,A07,126,147,21
E01,S02,A07,148,169,21
E01,S02,A07,170,188,18
E01,S02,A07,189,208,19
E01,S02,A07,209,226,17
E01,S02,A07,227,246,19
E01,S02,A07,247,265,18
E01,S02,A07,266,283,17
E01,S02,A08,1,14,13
E01,S02,A08,15,32,17
E01,S02,A08,33,49,16
E01,S02,A08,50,67,17
E01,S02,A08,68,84,16
E01,S02,A08,85,101,16
E01,S02,A08,102,118,16
E01,S02,A08,119,134,15
E01,S02,A08,135,150,15
E01,S02,A08,151,168,17
E01,S02,A08,169,185,16
E01,S02,A08,186,203,17
E01,S02,A08,204,219,15
E01,S02,A08,220,235,15
E01,S02,A08,236,252,16
E01,S02,A08,253,269,16
E01,S02,A08,270,286,16
E01,S02,A09,1,13,12
E01,S02,A09,14,29,15
E01,S02,A09,30,44,14
E01,S02,A09,45,61,16
E01,S02,A09,62,78,16
E01,S02,A09,79,93,14
E01,S02,A09,94,110,16
E01,S02,A09,111,126,15
E01,S02,A09,127,143,16
E01,S02,A09,144,158,14
E01,S02,A09,159,173,14
E01,S02,A09,174,190,16
E01,S02,A09,191,206,15
E01,S02,A09,207,222,15
E01,S02,A09,223,239,16
E01,S02,A09,240,253,13
E01,S02,A09,254,269,15
E01,S02,A09,270,287,17
E01,S02,A10,1,16,15
E01,S02,A10,17,32,15
E01,S02,A10,33,48,15
E01,S02,A10,49,65,16
E01,S02,A10,66,82,16
E01,S02,A10,83,98,15
E01,S02,A10,99,115,16
E01,S02,A10,116,131,15
E01,S02,A10,132,148,16
E01,S02,A10,149,164,15
E01,S02,A10,165,182,17
E01,S02,A10,183,199,16
E01,S02,A10,200,217,17
E01,S02,A10,218,233,15
E01,S02,A10,234,249,15
E01,S02,A10,250,266,16
E01,S02,A10,267,281,14
E01,S02,A10,282,297,15
E01,S02,A11,1,12,11
E01,S02,A11,13,29,16
E01,S02,A11,30,48,18
E01,S02,A11,49,64,15
E01,S02,A11,65,81,16
E01,S02,A11,82,98,16
E01,S02,A11,99,114,15
E01,S02,A11,115,131,16
E01,S02,A11,132,149,17
E01,S02,A11,150,166,16
E01,S02,A11,167,182,15
E01,S02,A11,183,198,15
E01,S02,A11,199,215,16
E01,S02,A11,216,234,18
E01,S02,A11,235,251,16
E01,S02,A11,252,267,15
E01,S02,A11,268,283,15
E01,S02,A11,284,297,13
E01,S02,A12,1,21,20
E01,S02,A12,22,43,21
E01,S02,A12,44,64,20
E01,S02,A12,65,85,20
E01,S02,A12,86,104,18
E01,S02,A12,105,124,19
E01,S02,A12,125,143,18
E01,S02,A12,144,161,17
E01,S02,A12,162,180,18
E01,S02,A12,181,198,17
E01,S02,A12,199,217,18
E01,S02,A12,218,237,19
E01,S02,A12,238,256,18
E01,S02,A12,257,278,21
E01,S02,A12,279,297,18
E01,S02,A13,1,13,12
E01,S02,A13,14,30,16
E01,S02,A13,31,46,15
E01,S02,A13,47,61,14
E01,S02,A13,62,77,15
E01,S02,A13,78,92,14
E01,S02,A13,93,107,14
E01,S02,A13,108,122,14
E01,S02,A13,123,137,14
E01,S02,A13,138,153,15
E01,S02,A13,154,167,13
E01,S02,A13,168,182,14
E01,S02,A13,183,195,12
E01,S02,A13,196,209,13
E01,S02,A13,210,222,12
E01,S02,A13,223,236,13
E01,S02,A13,237,250,13
E01,S02,A13,251,263,12
E01,S02,A13,264,277,13
E01,S02,A13,278,292,14
E01,S02,A14,10,24,14
E01,S02,A14,25,38,13
E01,S02,A14,39,52,13
E01,S02,A14,53,67,14
E01,S02,A14,68,80,12
E01,S02,A14,81,94,13
E01,S02,A14,95,108,13
E01,S02,A14,109,123,14
E01,S02,A14,124,137,13
E01,S02,A14,138,151,13
E01,S02,A14,152,167,15
E01,S02,A14,168,181,13
E01,S02,A14,182,195,13
E01,S02,A14,196,209,13
E01,S02,A14,210,223,13
E01,S02,A14,224,236,12
E01,S02,A14,237,250,13
E01,S02,A14,251,263,12
E01,S02,A14,264,276,12
E01,S02,A14,277,290,13
E01,S02,A15,1,21,20
E01,S02,A15,22,43,21
E01,S02,A15,44,65,21
E01,S02,A15,66,89,23
E01,S02,A15,136,158,22
E01,S02,A15,159,180,21
E01,S02,A15,181,203,22
E01,S02,A15,204,226,22
E01,S02,A15,227,251,24
E01,S02,A15,252,273,21
E01,S02,A15,274,296,22
E01,S02,A16,1,15,14
E01,S02,A16,16,36,20
E01,S02,A16,37,57,20
E01,S02,A16,58,80,22
E01,S02,A16,81,101,20
E01,S02,A16,102,124,22
E01,S02,A16,125,143,18
E01,S02,A16,144,164,20
E01,S02,A16,165,187,22
E01,S02,A16,188,208,20
E01,S02,A16,209,229,20
E01,S02,A16,230,250,20
E01,S02,A16,251,272,21
E01,S02,A16,273,292,19
E01,S02,A17,10,20,10
E01,S02,A17,21,33,12
E01,S02,A17,34,44,10
E01,S02,A17,45,55,10
E01,S02,A17,56,67,11
E01,S02,A17,68,79,11
E01,S02,A17,80,91,11
E01,S02,A17,92,103,11
E01,S02,A17,104,114,10
E01,S02,A17,115,125,10
E01,S02,A17,136,146,10
E01,S02,A17,147,157,10
E01,S02,A17,158,168,10
E01,S02,A17,169,179,10
E01,S02,A17,180,190,10
E01,S02,A17,191,201,10
E01,S02,A17,212,223,11
E01,S02,A17,244,254,10
E01,S02,A18,178,188,10
E01,S02,A19,1,11,10
E01,S02,A19,12,30,18
E01,S02,A19,31,49,18
E01,S02,A19,50,68,18
E01,S02,A19,69,87,18
E01,S02,A19,88,106,18
E01,S02,A19,107,125,18
E01,S02,A19,126,145,19
E01,S02,A19,146,162,16
E01,S02,A19,163,181,18
E01,S02,A19,182,200,18
E01,S02,A19,201,217,16
E01,S02,A19,218,236,18
E01,S02,A19,237,254,17
E01,S02,A19,255,272,17
E01,S02,A19,273,291,18
E01,S02,A20,1,14,13
E01,S02,A20,15,35,20
E01,S02,A20,36,56,20
E01,S02,A20,57,78,21
E01,S02,A20,79,101,22
E01,S02,A20,102,123,21
E01,S02,A20,124,146,22
E01,S02,A20,147,167,20
E01,S02,A20,168,188,20
E01,S02,A20,189,209,20
E01,S02,A20,210,231,21
E01,S02,A20,232,253,21
E01,S02,A20,254,274,20
E01,S02,A20,275,295,20
E01,S02,A21,1,19,18
E01,S02,A21,20,40,20
E01,S02,A21,41,61,20
E01,S02,A21,62,82,20
E01,S02,A21,83,104,21
E01,S02,A21,105,126,21
E01,S02,A21,127,146,19
E01,S02,A21,147,164,17
E01,S02,A21,165,182,17
E01,S02,A21,183,202,19
E01,S02,A21,203,220,17
E01,S02,A21,221,236,15
E01,S02,A21,237,253,16
E01,S02,A21,254,272,18
E01,S02,A21,273,295,22
E01,S02,A22,1,14,13
E01,S02,A22,15,33,18
E01,S02,A22,34,51,17
E01,S02,A22,52,69,17
E01,S02,A22,70,89,19
E01,S02,A22,90,110,20
E01,S02,A22,111,129,18
E01,S02,A22,130,147,17
E01,S02,A22,148,165,17
E01,S02,A22,166,183,17
E01,S02,A22,184,203,19
E01,S02,A22,204,220,16
E01,S02,A22,221,239,18
E01,S02,A22,240,257,17
E01,S02,A22,258,275,17
E01,S02,A22,276,294,18
E01,S02,A23,1,13,12
E01,S02,A23,14,30,16
E01,S02,A23,31,48,17
E01,S02,A23,49,66,17
E01,S02,A23,67,83,16
E01,S02,A23,84,102,18
E01,S02,A23,103,121,18
E01,S02,A23,122,139,17
E01,S02,A23,140,158,18
E01,S02,A23,159,176,17
E01,S02,A23,177,194,17
E01,S02,A23,195,213,18
E01,S02,A23,214,232,18
E01,S02,A23,233,251,18
E01,S02,A23,252,268,16
E01,S02,A23,269,287,18
E01,S02,A24,6,20,14
E01,S02,A24,21,35,14
E01,S02,A24,36,49,13
E01,S02,A24,50,63,13
E01,S02,A24,64,77,13
E01,S02,A24,78,91,13
E01,S02,A24,92,106,14
E01,S02,A24,107,119,12
E01,S02,A24,120,134,14
E01,S02,A24,135,147,12
E01,S02,A24,148,161,13
E01,S02,A24,162,175,13
E01,S02,A24,176,189,13
E01,S02,A24,190,201,11
E01,S02,A24,202,214,12
E01,S02,A24,215,226,11
E01,S02,A24,227,238,11
E01,S02,A24,239,250,11
E01,S02,A24,251,262,11
E01,S02,A24,263,275,12
E01,S02,A25,9,21,12
E01,S02,A25,22,33,11
E01,S02,A25,34,46,12
E01,S02,A25,47,59,12
E01,S02,A25,60,73,13
E01,S02,A25,74,86,12
E01,S02,A25,87,99,12
E01,S02,A25,100,113,13
E01,S02,A25,114,126,12
E01,S02,A25,127,140,13
E01,S02,A25,141,153,12
E01,S02,A25,154,167,13
E01,S02,A25,168,181,13
E01,S02,A25,182,195,13
E01,S02,A25,196,209,13
E01,S02,A25,210,221,11
E01,S02,A25,222,234,12
E01,S02,A25,235,248,13
E01,S02,A25,249,262,13
E01,S02,A25,263,275,12
E01,S02,A25,276,289,13
E01,S02,A26,186,196,10
E01,S02,A26,266,276,10
E01,S02,A27,1,12,11
E01,S02,A27,13,32,19
E01,S02,A27,33,52,19
E01,S02,A27,53,73,20
E01,S02,A27,74,92,18
E01,S02,A27,93,110,17
E01,S02,A27,111,127,16
E01,S02,A27,128,146,18
E01,S02,A27,147,165,18
E01,S02,A27,166,186,20
E01,S02,A27,187,205,18
E01,S02,A27,206,224,18
E01,S02,A27,225,243,18
E01,S02,A27,244,262,18
E01,S02,A27,263,282,19
E01,S02,A27,283,297,14
E01,S03,A04,1,14,13
E01,S03,A04,15,26,11
E01,S03,A04,27,38,11
E01,S03,A04,39,51,12
E01,S03,A04,52,64,12
E01,S03,A04,65,78,13
E01,S03,A04,79,92,13
E01,S03,A04,93,105,12
E01,S03,A04,106,119,13
E01,S03,A04,120,132,12
E01,S03,A04,133,145,12
E01,S03,A04,146,159,13
E01,S03,A04,160,172,12
E01,S03,A04,173,185,12
E01,S03,A04,186,198,12
E01,S03,A04,199,211,12
E01,S03,A04,212,225,13
E01,S03,A04,226,238,12
E01,S03,A04,239,251,12
E01,S03,A04,252,265,13
E01,S03,A04,266,278,12
E01,S03,A04,279,292,13
E01,S03,A05,7,21,14
E01,S03,A05,22,37,15
E01,S03,A05,38,52,14
E01,S03,A05,53,69,16
E01,S03,A05,70,84,14
E01,S03,A05,85,100,15
E01,S03,A05,101,115,14
E01,S03,A05,116,131,15
E01,S03,A05,132,146,14
E01,S03,A05,147,162,15
E01,S03,A05,163,178,15
E01,S03,A05,179,194,15
E01,S03,A05,195,209,14
E01,S03,A05,210,225,15
E01,S03,A05,226,239,13
E01,S03,A05,240,254,14
E01,S03,A05,255,269,14
E01,S03,A05,270,284,14
E01,S03,A05,285,297,12
E01,S03,A07,1,14,13
E01,S03,A07,15,34,19
E01,S03,A07,35,54,19
E01,S03,A07,55,75,20
E01,S03,A07,76,95,19
E01,S03,A07,96,115,19
E01,S03,A07,116,135,19
E01,S03,A07,136,155,19
E01,S03,A07,156,175,19
E01,S03,A07,176,195,19
E01,S03,A07,196,214,18
E01,S03,A07,215,235,20
E01,S03,A07,236,256,20
E01,S03,A07,257,276,19
E01,S03,A07,277,296,19
E01,S03,A08,1,14,13
E01,S03,A08,15,32,17
E01,S03,A08,33,50,17
E01,S03,A08,51,69,18
E01,S03,A08,70,88,18
E01,S03,A08,89,107,18
E01,S03,A08,108,125,17
E01,S03,A08,126,143,17
E01,S03,A08,144,162,18
E01,S03,A08,163,180,17
E01,S03,A08,181,200,19
E01,S03,A08,201,219,18
E01,S03,A08,220,238,18
E01,S03,A08,239,258,19
E01,S03,A08,259,277,18
E01,S03,A08,278,295,17
E01,S03,A09,11,26,15
E01,S03,A09,27,40,13
E01,S03,A09,41,56,15
E01,S03,A09,57,72,15
E01,S03,A09,73,88,15
E01,S03,A09,89,104,15
E01,S03,A09,105,120,15
E01,S03,A09,121,137,16
E01,S03,A09,138,154,16
E01,S03,A09,155,171,16
E01,S03,A09,172,187,15
E01,S03,A09,188,204,16
E01,S03,A09,205,221,16
E01,S03,A09,222,238,16
E01,S03,A09,239,255,16
E01,S03,A09,256,272,16
E01,S03,A09,273,289,16
E01,S03,A10,11,27,16
E01,S03,A10,28,44,16
E01,S03,A10,45,62,17
E01,S03,A10,63,79,16
E01,S03,A10,80,97,17
E01,S03,A10,98,115,17
E01,S03,A10,116,133,17
E01,S03,A10,134,151,17
E01,S03,A10,152,172,20
E01,S03,A10,173,190,17
E01,S03,A10,191,210,19
E01,S03,A10,211,230,19
E01,S03,A10,231,250,19
E01,S03,A10,251,267,16
E01,S03,A10,268,286,18
E01,S03,A11,1,16,15
E01,S03,A11,17,36,19
E01,S03,A11,37,58,21
E01,S03,A11,59,79,20
E01,S03,A11,80,100,20
E01,S03,A11,101,121,20
E01,S03,A11,122,141,19
E01,S03,A11,142,162,20
E01,S03,A11,163,184,21
E01,S03,A11,185,205,20
E01,S03,A11,206,227,21
E01,S03,A11,228,249,21
E01,S03,A11,250,270,20
E01,S03,A11,271,291,20
E01,S03,A12,1,20,19
E01,S03,A12,21,35,14
E01,S03,A12,36,50,14
E01,S03,A12,51,64,13
E01,S03,A12,65,79,14
E01,S03,A12,80,92,12
E01,S03,A12,93,108,15
E01,S03,A12,109,121,12
E01,S03,A12,122,136,14
E01,S03,A12,137,149,12
E01,S03,A12,150,165,15
E01,S03,A12,166,180,14
E01,S03,A12,181,195,14
E01,S03,A12,196,209,13
E01,S03,A12,210,224,14
E01,S03,A12,225,237,12
E01,S03,A12,238,253,15
E01,S03,A12,254,266,12
E01,S03,A12,267,282,15
E01,S03,A12,283,297,14
E01,S03,A13,10,25,15
E01,S03,A13,26,40,14
E01,S03,A13,41,55,14
E01,S03,A13,56,71,15
E01,S03,A13,72,86,14
E01,S03,A13,87,101,14
E01,S03,A13,102,116,14
E01,S03,A13,117,131,14
E01,S03,A13,132,145,13
E01,S03,A13,146,160,14
E01,S03,A13,161,176,15
E01,S03,A13,177,192,15
E01,S03,A13,193,207,14
E01,S03,A13,208,223,15
E01,S03,A13,224,237,13
E01,S03,A13,238,254,16
E01,S03,A13,255,271,16
E01,S03,A13,272,287,15
E01,S03,A14,10,26,16
E01,S03,A14,27,42,15
E01,S03,A14,43,58,15
E01,S03,A14,59,73,14
E01,S03,A14,74,89,15
E01,S03,A14,90,106,16
E01,S03,A14,107,122,15
E01,S03,A14,123,139,16
E01,S03,A14,140,154,14
E01,S03,A14,155,170,15
E01,S03,A14,171,186,15
E01,S03,A14,187,203,16
E01,S03,A14,204,220,16
E01,S03,A14,221,237,16
E01,S03,A14,238,253,15
E01,S03,A14,254,270,16
E01,S03,A14,271,286,15
E01,S03,A15,1,24,23
E01,S03,A15,25,51,26
E01,S03,A15,52,77,25
E01,S03,A15,78,101,23
E01,S03,A15,102,126,24
E01,S03,A15,127,151,24
E01,S03,A15,152,176,24
E01,S03,A15,177,202,25
E01,S03,A15,203,227,24
E01,S03,A15,228,251,23
E01,S03,A15,252,276,24
E01,S03,A16,1,21,20
E01,S03,A16,22,47,25
E01,S03,A16,48,72,24
E01,S03,A16,73,98,25
E01,S03,A16,99,122,23
E01,S03,A16,123,145,22
E01,S03,A16,146,170,24
E01,S03,A16,171,195,24
E01,S03,A16,196,219,23
E01,S03,A16,220,244,24
E01,S03,A16,245,270,25
E01,S03,A16,271,293,22
E01,S03,A17,8,19,11
E01,S03,A17,20,33,13
E01,S03,A17,34,46,12
E01,S03,A17,47,60,13
E01,S03,A17,61,74,13
E01,S03,A17,75,88,13
E01,S03,A17,89,102,13
E01,S03,A17,103,115,12
E01,S03,A17,116,130,14
E01,S03,A17,131,144,13
E01,S03,A17,145,158,13
E01,S03,A17,159,172,13
E01,S03,A17,173,186,13
E01,S03,A17,187,198,11
E01,S03,A17,199,212,13
E01,S03,A17,213,226,13
E01,S03,A17,227,239,12
E01,S03,A17,240,253,13
E01,S03,A17,254,268,14
E01,S03,A17,269,283,14
E01,S03,A17,284,297,13
