Environment,Subject,Action,start,end
E01,S01,A13,278,289
E01,S01,A12,1,18
E01,S01,A12,19,34
E01,S01,A12,35,52
E01,S01,A12,53,71
E01,S01,A12,72,91
E01,S01,A12,92,112
E01,S01,A12,113,131
E01,S01,A12,170,190
E01,S01,A12,191,211
E01,S01,A12,212,231
E01,S01,A12,232,251
E01,S01,A12,252,271
E01,S01,A12,272,293
E01,S01,A20,1,22
E01,S01,A20,23,46
E01,S01,A20,47,70
E01,S01,A20,71,90
E01,S01,A20,91,114
E01,S01,A20,115,138
E01,S01,A20,139,162
E01,S01,A20,163,186
E01,S01,A20,187,209
E01,S01,A20,210,232
E01,S01,A20,233,255
E01,S01,A20,256,278
E01,S01,A20,1,16
E01,S01,A20,17,37
E01,S01,A20,38,62
E01,S01,A20,63,83
E01,S01,A20,84,107
E01,S01,A20,108,130
E01,S01,A20,131,150
E01,S01,A20,151,173
E01,S01,A20,174,196
E01,S01,A20,197,218
E01,S01,A20,219,241
E01,S01,A20,242,264
E01,S01,A20,265,287
E01,S01,A22,1,22
E01,S01,A22,23,44
E01,S01,A22,45,62
E01,S01,A22,63,81
E01,S01,A22,82,101
E01,S01,A22,102,121
E01,S01,A22,122,142
E01,S01,A22,143,161
E01,S01,A22,162,183
E01,S01,A22,184,204
E01,S01,A22,205,224
E01,S01,A22,225,245
E01,S01,A22,246,266
E01,S01,A22,267,286
E01,S01,A22,1,23
E01,S01,A22,24,42
E01,S01,A22,43,59
E01,S01,A22,60,79
E01,S01,A22,80,98
E01,S01,A22,99,120
E01,S01,A22,121,141
E01,S01,A22,142,158
E01,S01,A22,159,179
E01,S01,A22,180,199
E01,S01,A22,200,220
E01,S01,A22,221,240
E01,S01,A22,241,263
E01,S01,A22,264,281
E01,S02,A07,1,14
E01,S02,A07,15,32
E01,S02,A07,33,50
E01,S02,A07,51,68
E01,S02,A07,69,88
E01,S02,A07,89,106
E01,S02,A07,107,125
E01,S02,A07,126,147
E01,S02,A07,148,169
E01,S02,A07,170,188
E01,S02,A07,189,208
E01,S02,A07,209,226
E01,S02,A07,227,246
E01,S02,A07,247,265
E01,S02,A07,266,283
E01,S02,A07,1,14
E01,S02,A07,15,32
E01,S02,A07,33,49
E01,S02,A07,50,67
E01,S02,A07,68,84
E01,S02,A07,85,101
E01,S02,A07,102,118
E01,S02,A07,119,134
E01,S02,A07,135,150
E01,S02,A07,151,168
E01,S02,A07,169,185
E01,S02,A07,186,203
E01,S02,A07,204,219
E01,S02,A07,220,235
E01,S02,A07,236,252
E01,S02,A07,253,269
E01,S02,A07,270,286
E01,S02,A09,1,13
E01,S02,A09,14,29
E01,S02,A09,30,44
E01,S02,A09,45,61
E01,S02,A09,62,78
E01,S02,A09,79,93
E01,S02,A09,94,110
E01,S02,A09,111,126
E01,S02,A09,127,143
E01,S02,A09,144,158
E01,S02,A09,159,173
E01,S02,A09,174,190
E01,S02,A09,191,206
E01,S02,A09,207,222
E01,S02,A09,223,239
E01,S02,A09,240,253
E01,S02,A09,254,269
E01,S02,A09,270,287
E01,S02,A09,1,16
E01,S02,A09,17,32
E01,S02,A09,33,48
E01,S02,A09,49,65
E01,S02,A09,66,82
E01,S02,A09,83,98
E01,S02,A09,99,115
E01,S02,A09,116,131
E01,S02,A09,132,148
E01,S02,A09,149,164
E01,S02,A09,165,182
E01,S02,A09,183,199
E01,S02,A09,200,217
E01,S02,A09,218,233
E01,S02,A09,234,249
E01,S02,A09,250,266
E01,S02,A09,267,281
E01,S02,A09,282,297
E01,S02,A07,1,12
E01,S02,A07,13,29
E01,S02,A07,30,48
E01,S02,A07,49,64
E01,S02,A07,65,81
E01,S02,A07,82,98
E01,S02,A07,99,114
E01,S02,A07,115,131
E01,S02,A07,132,149
E01,S02,A07,150,166
E01,S02,A07,167,182
E01,S02,A07,183,198
E01,S02,A07,199,215
E01,S02,A07,216,234
E01,S02,A07,235,251
E01,S02,A07,252,267
E01,S02,A07,268,283
E01,S02,A07,284,297
E01,S02,A12,1,21
E01,S02,A12,22,43
E01,S02,A12,44,64
E01,S02,A12,65,85
E01,S02,A12,86,104
E01,S02,A12,105,124
E01,S02,A12,125,143
E01,S02,A12,144,161
E01,S02,A12,162,180
E01,S02,A12,181,198
E01,S02,A12,199,217
E01,S02,A12,218,237
E01,S02,A12,238,256
E01,S02,A12,257,278
E01,S02,A12,279,297
E01,S02,A13,1,13
E01,S02,A13,14,30
E01,S02,A13,31,46
E01,S02,A13,47,61
E01,S02,A13,62,77
E01,S02,A13,78,92
E01,S02,A13,93,107
E01,S02,A13,108,122
E01,S02,A13,123,137
E01,S02,A13,138,153
E01,S02,A13,154,167
E01,S02,A13,168,182
E01,S02,A13,183,195
E01,S02,A13,196,209
E01,S02,A13,210,222
E01,S02,A13,223,236
E01,S02,A13,237,250
E01,S02,A13,251,263
E01,S02,A13,264,277
E01,S02,A13,278,292
E01,S02,A13,10,24
E01,S02,A13,25,38
E01,S02,A13,39,52
E01,S02,A13,53,67
E01,S02,A13,68,80
E01,S02,A13,81,94
E01,S02,A13,95,108
E01,S02,A13,109,123
E01,S02,A13,124,137
E01,S02,A13,138,151
E01,S02,A13,152,167
E01,S02,A13,168,181
E01,S02,A13,182,195
E01,S02,A13,196,209
E01,S02,A13,210,223
E01,S02,A13,224,236
E01,S02,A13,237,250
E01,S02,A13,251,263
E01,S02,A13,264,276
E01,S02,A13,277,290
E01,S02,A09,1,21
E01,S02,A09,22,43
E01,S02,A09,44,65
E01,S02,A09,66,89
E01,S02,A09,136,158
E01,S02,A09,159,180
E01,S02,A09,181,203
E01,S02,A09,204,226
E01,S02,A09,227,251
E01,S02,A09,252,273
E01,S02,A09,274,296
E01,S02,A09,1,15
E01,S02,A09,16,36
E01,S02,A09,37,57
E01,S02,A09,58,80
E01,S02,A09,81,101
E01,S02,A09,102,124
E01,S02,A09,125,143
E01,S02,A09,144,164
E01,S02,A09,165,187
E01,S02,A09,188,208
E01,S02,A09,209,229
E01,S02,A09,230,250
E01,S02,A09,251,272
E01,S02,A09,273,292
E01,S02,A12,12,30
E01,S02,A12,31,49
E01,S02,A12,50,68
E01,S02,A12,69,87
E01,S02,A12,88,106
E01,S02,A12,107,125
E01,S02,A12,126,145
E01,S02,A12,146,162
E01,S02,A12,163,181
E01,S02,A12,182,200
E01,S02,A12,201,217
E01,S02,A12,218,236
E01,S02,A12,237,254
E01,S02,A12,255,272
E01,S02,A12,273,291
E01,S02,A20,1,14
E01,S02,A20,15,35
E01,S02,A20,36,56
E01,S02,A20,57,78
E01,S02,A20,79,101
E01,S02,A20,102,123
E01,S02,A20,124,146
E01,S02,A20,147,167
E01,S02,A20,168,188
E01,S02,A20,189,209
E01,S02,A20,210,231
E01,S02,A20,232,253
E01,S02,A20,254,274
E01,S02,A20,275,295
E01,S02,A20,1,19
E01,S02,A20,20,40
E01,S02,A20,41,61
E01,S02,A20,62,82
E01,S02,A20,83,104
E01,S02,A20,105,126
E01,S02,A20,127,146
E01,S02,A20,147,164
E01,S02,A20,165,182
E01,S02,A20,183,202
E01,S02,A20,203,220
E01,S02,A20,221,236
E01,S02,A20,237,253
E01,S02,A20,254,272
E01,S02,A20,273,295
E01,S02,A22,1,14
E01,S02,A22,15,33
E01,S02,A22,34,51
E01,S02,A22,52,69
E01,S02,A22,70,89
E01,S02,A22,90,110
E01,S02,A22,111,129
E01,S02,A22,130,147
E01,S02,A22,148,165
E01,S02,A22,166,183
E01,S02,A22,184,203
E01,S02,A22,204,220
E01,S02,A22,221,239
E01,S02,A22,240,257
E01,S02,A22,258,275
E01,S02,A22,276,294
E01,S02,A22,1,13
E01,S02,A22,14,30
E01,S02,A22,31,48
E01,S02,A22,49,66
E01,S02,A22,67,83
E01,S02,A22,84,102
E01,S02,A22,103,121
E01,S02,A22,122,139
E01,S02,A22,140,158
E01,S02,A22,159,176
E01,S02,A22,177,194
E01,S02,A22,195,213
E01,S02,A22,214,232
E01,S02,A22,233,251
E01,S02,A22,252,268
E01,S02,A22,269,287
E01,S03,A07,1,14
E01,S03,A07,15,34
E01,S03,A07,35,54
E01,S03,A07,55,75
E01,S03,A07,76,95
E01,S03,A07,96,115
E01,S03,A07,116,135
E01,S03,A07,136,155
E01,S03,A07,156,175
E01,S03,A07,176,195
E01,S03,A07,196,214
E01,S03,A07,215,235
E01,S03,A07,236,256
E01,S03,A07,257,276
E01,S03,A07,277,296
E01,S03,A07,1,14
E01,S03,A07,15,32
E01,S03,A07,33,50
E01,S03,A07,51,69
E01,S03,A07,70,88
E01,S03,A07,89,107
E01,S03,A07,108,125
E01,S03,A07,126,143
E01,S03,A07,144,162
E01,S03,A07,163,180
E01,S03,A07,181,200
E01,S03,A07,201,219
E01,S03,A07,220,238
E01,S03,A07,239,258
E01,S03,A07,259,277
E01,S03,A07,278,295
E01,S03,A09,11,26
E01,S03,A09,27,40
E01,S03,A09,41,56
E01,S03,A09,57,72
E01,S03,A09,73,88
E01,S03,A09,89,104
E01,S03,A09,105,120
E01,S03,A09,121,137
E01,S03,A09,138,154
E01,S03,A09,155,171
E01,S03,A09,172,187
E01,S03,A09,188,204
E01,S03,A09,205,221
E01,S03,A09,222,238
E01,S03,A09,239,255
E01,S03,A09,256,272
E01,S03,A09,273,289
E01,S03,A09,11,27
E01,S03,A09,28,44
E01,S03,A09,45,62
E01,S03,A09,63,79
E01,S03,A09,80,97
E01,S03,A09,98,115
E01,S03,A09,116,133
E01,S03,A09,134,151
E01,S03,A09,152,172
E01,S03,A09,173,190
E01,S03,A09,191,210
E01,S03,A09,211,230
E01,S03,A09,231,250
E01,S03,A09,251,267
E01,S03,A09,268,286
E01,S03,A07,1,16
E01,S03,A07,17,36
E01,S03,A07,37,58
E01,S03,A07,59,79
E01,S03,A07,80,100
E01,S03,A07,101,121
E01,S03,A07,122,141
E01,S03,A07,142,162
E01,S03,A07,163,184
E01,S03,A07,185,205
E01,S03,A07,206,227
E01,S03,A07,228,249
E01,S03,A07,250,270
E01,S03,A07,271,291
E01,S03,A12,1,20
E01,S03,A12,21,35
E01,S03,A12,36,50
E01,S03,A12,51,64
E01,S03,A12,65,79
E01,S03,A12,80,92
E01,S03,A12,93,108
E01,S03,A12,109,121
E01,S03,A12,122,136
E01,S03,A12,137,149
E01,S03,A12,150,165
E01,S03,A12,166,180
E01,S03,A12,181,195
E01,S03,A12,196,209
E01,S03,A12,210,224
E01,S03,A12,225,237
E01,S03,A12,238,253
E01,S03,A12,254,266
E01,S03,A12,267,282
E01,S03,A12,283,297
E01,S03,A13,10,25
E01,S03,A13,26,40
E01,S03,A13,41,55
E01,S03,A13,56,71
E01,S03,A13,72,86
E01,S03,A13,87,101
E01,S03,A13,102,116
E01,S03,A13,117,131
E01,S03,A13,132,145
E01,S03,A13,146,160
E01,S03,A13,161,176
E01,S03,A13,177,192
E01,S03,A13,193,207
E01,S03,A13,208,223
E01,S03,A13,224,237
E01,S03,A13,238,254
E01,S03,A13,255,271
E01,S03,A13,272,287
E01,S03,A13,10,26
E01,S03,A13,27,42
E01,S03,A13,43,58
E01,S03,A13,59,73
E01,S03,A13,74,89
E01,S03,A13,90,106
E01,S03,A13,107,122
E01,S03,A13,123,139
E01,S03,A13,140,154
E01,S03,A13,155,170
E01,S03,A13,171,186
E01,S03,A13,187,203
E01,S03,A13,204,220
E01,S03,A13,221,237
E01,S03,A13,238,253
E01,S03,A13,254,270
E01,S03,A13,271,286
E01,S03,A09,1,24
E01,S03,A09,25,51
E01,S03,A09,52,77
E01,S03,A09,78,101
E01,S03,A09,102,126
E01,S03,A09,127,151
E01,S03,A09,152,176
E01,S03,A09,177,202
E01,S03,A09,203,227
E01,S03,A09,228,251
E01,S03,A09,252,276
E01,S03,A09,1,21
E01,S03,A09,22,47
E01,S03,A09,48,72
E01,S03,A09,73,98
E01,S03,A09,99,122
E01,S03,A09,123,145
E01,S03,A09,146,170
E01,S03,A09,171,195
E01,S03,A09,196,219
E01,S03,A09,220,244
E01,S03,A09,245,270
E01,S03,A09,271,293
E01,S03,A13,8,19
E01,S03,A13,20,33
E01,S03,A13,34,46
E01,S03,A13,47,60
E01,S03,A13,61,74
E01,S03,A13,75,88
E01,S03,A13,89,102
E01,S03,A13,103,115
E01,S03,A13,116,130
E01,S03,A13,131,144
E01,S03,A13,145,158
E01,S03,A13,159,172
E01,S03,A13,173,186
E01,S03,A13,187,198
E01,S03,A13,199,212
E01,S03,A13,213,226
E01,S03,A13,227,239
E01,S03,A13,240,253
E01,S03,A13,254,268
E01,S03,A13,269,283
E01,S03,A13,284,297
E01,S03,A13,10,21
E01,S03,A13,22,34
E01,S03,A13,35,47
E01,S03,A13,48,60
E01,S03,A13,61,73
E01,S03,A13,74,88
E01,S03,A13,89,102
E01,S03,A13,103,116
E01,S03,A13,117,131
E01,S03,A13,132,145
E01,S03,A13,146,159
E01,S03,A13,160,173
E01,S03,A13,174,188
E01,S03,A13,189,202
E01,S03,A13,203,216
E01,S03,A13,217,231
E01,S03,A13,232,244
E01,S03,A13,245,259
E01,S03,A13,260,273
E01,S03,A13,274,288
E01,S03,A12,1,22
E01,S03,A12,23,48
E01,S03,A12,49,72
E01,S03,A12,73,97
E01,S03,A12,98,120
E01,S03,A12,121,145
E01,S03,A12,146,171
E01,S03,A12,172,193
E01,S03,A12,194,217
E01,S03,A12,218,242
E01,S03,A12,243,264
E01,S03,A12,265,288
E01,S03,A20,1,22
E01,S03,A20,23,51
E01,S03,A20,52,77
E01,S03,A20,78,104
E01,S03,A20,105,130
E01,S03,A20,131,157
E01,S03,A20,158,183
E01,S03,A20,184,209
E01,S03,A20,210,236
E01,S03,A20,237,263
E01,S03,A20,264,288
E01,S03,A20,1,19
E01,S03,A20,20,45
E01,S03,A20,46,71
E01,S03,A20,72,98
E01,S03,A20,99,123
E01,S03,A20,124,147
E01,S03,A20,148,174
E01,S03,A20,175,198
E01,S03,A20,199,226
E01,S03,A20,227,252
E01,S03,A20,253,278
E01,S03,A22,1,22
E01,S03,A22,23,45
E01,S03,A22,46,66
E01,S03,A22,67,92
E01,S03,A22,93,115
E01,S03,A22,116,138
E01,S03,A22,139,161
E01,S03,A22,162,185
E01,S03,A22,186,209
E01,S03,A22,210,231
E01,S03,A22,232,253
E01,S03,A22,254,277
E01,S03,A22,278,297
E01,S03,A22,1,20
E01,S03,A22,21,43
E01,S03,A22,44,67
E01,S03,A22,68,88
E01,S03,A22,89,110
E01,S03,A22,111,134
E01,S03,A22,135,158
E01,S03,A22,159,182
E01,S03,A22,183,204
E01,S03,A22,205,226
E01,S03,A22,227,247
E01,S03,A22,248,269
E01,S03,A22,270,291
E01,S04,A07,1,20
E01,S04,A07,21,45
E01,S04,A07,46,70
E01,S04,A07,71,96
E01,S04,A07,97,120
E01,S04,A07,121,148
E01,S04,A07,149,172
E01,S04,A07,173,195
E01,S04,A07,196,219
E01,S04,A07,220,243
E01,S04,A07,244,268
E01,S04,A07,269,293
E01,S04,A07,1,15
E01,S04,A07,16,40
E01,S04,A07,41,66
E01,S04,A07,67,90
E01,S04,A07,91,114
E01,S04,A07,115,141
E01,S04,A07,142,165
E01,S04,A07,166,189
E01,S04,A07,190,212
E01,S04,A07,213,236
E01,S04,A07,237,258
E01,S04,A07,259,286
E01,S04,A09,1,13
E01,S04,A09,14,32
E01,S04,A09,33,52
E01,S04,A09,53,73
E01,S04,A09,74,95
E01,S04,A09,96,115
E01,S04,A09,116,136
E01,S04,A09,137,157
E01,S04,A09,158,178
E01,S04,A09,179,199
E01,S04,A09,200,216
E01,S04,A09,217,240
E01,S04,A09,241,261
E01,S04,A09,262,281
E01,S04,A09,1,15
E01,S04,A09,16,34
E01,S04,A09,35,55
E01,S04,A09,56,74
E01,S04,A09,75,94
E01,S04,A09,95,116
E01,S04,A09,117,136
E01,S04,A09,137,158
E01,S04,A09,159,181
E01,S04,A09,182,201
E01,S04,A09,202,222
E01,S04,A09,223,243
E01,S04,A09,244,264
E01,S04,A09,265,286
E01,S04,A07,1,18
E01,S04,A07,19,47
E01,S04,A07,48,75
E01,S04,A07,76,100
E01,S04,A07,101,128
E01,S04,A07,227,256
E01,S04,A12,1,13
E01,S04,A12,14,36
E01,S04,A12,37,55
E01,S04,A12,56,76
E01,S04,A12,77,96
E01,S04,A12,97,116
E01,S04,A12,117,136
E01,S04,A12,137,156
E01,S04,A12,157,177
E01,S04,A12,178,198
E01,S04,A12,199,218
E01,S04,A12,219,238
E01,S04,A12,239,258
E01,S04,A12,259,280
E01,S04,A12,281,297
E01,S04,A13,1,14
E01,S04,A13,15,35
E01,S04,A13,36,62
E01,S04,A13,63,84
E01,S04,A13,85,106
E01,S04,A13,107,131
E01,S04,A13,132,154
E01,S04,A13,155,178
E01,S04,A13,179,205
E01,S04,A13,206,229
E01,S04,A13,230,256
E01,S04,A13,257,279
E01,S04,A13,280,297
E01,S04,A13,1,14
E01,S04,A13,15,37
E01,S04,A13,38,61
E01,S04,A13,62,86
E01,S04,A13,87,111
E01,S04,A13,112,135
E01,S04,A13,136,159
E01,S04,A13,160,186
E01,S04,A13,187,210
E01,S04,A13,211,236
E01,S04,A13,237,259
E01,S04,A13,260,281
E01,S04,A09,1,21
E01,S04,A09,22,49
E01,S04,A09,50,77
E01,S04,A09,78,104
E01,S04,A09,105,133
E01,S04,A09,134,160
E01,S04,A09,161,188
E01,S04,A09,189,215
E01,S04,A09,216,243
E01,S04,A09,244,272
E01,S04,A09,273,297
E01,S04,A09,1,19
E01,S04,A09,20,46
E01,S04,A09,47,76
E01,S04,A09,77,104
E01,S04,A09,105,132
E01,S04,A09,133,161
E01,S04,A09,162,189
E01,S04,A09,190,217
E01,S04,A09,218,245
E01,S04,A09,246,271
E01,S04,A09,272,297
E01,S04,A12,1,16
E01,S04,A12,17,34
E01,S04,A12,35,56
E01,S04,A12,57,76
E01,S04,A12,77,98
E01,S04,A12,99,116
E01,S04,A12,117,137
E01,S04,A12,138,156
E01,S04,A12,157,177
E01,S04,A12,178,200
E01,S04,A12,201,217
E01,S04,A12,218,237
E01,S04,A12,238,258
E01,S04,A12,259,277
E01,S04,A12,278,295
E01,S04,A20,1,15
E01,S04,A20,16,40
E01,S04,A20,41,65
E01,S04,A20,66,93
E01,S04,A20,94,117
E01,S04,A20,118,142
E01,S04,A20,143,168
E01,S04,A20,169,195
E01,S04,A20,196,219
E01,S04,A20,220,244
E01,S04,A20,245,269
E01,S04,A20,270,292
E01,S04,A20,1,15
E01,S04,A20,16,39
E01,S04,A20,40,62
E01,S04,A20,63,87
E01,S04,A20,88,112
E01,S04,A20,113,136
E01,S04,A20,137,162
E01,S04,A20,163,186
E01,S04,A20,187,212
E01,S04,A20,213,235
E01,S04,A20,236,260
E01,S04,A20,261,285
E01,S04,A22,1,15
E01,S04,A22,16,39
E01,S04,A22,40,63
E01,S04,A22,64,88
E01,S04,A22,89,114
E01,S04,A22,115,141
E01,S04,A22,142,161
E01,S04,A22,162,182
E01,S04,A22,183,209
E01,S04,A22,210,233
E01,S04,A22,234,258
E01,S04,A22,259,283
E01,S04,A22,12,34
E01,S04,A22,35,54
E01,S04,A22,55,79
E01,S04,A22,80,100
E01,S04,A22,101,121
E01,S04,A22,122,144
E01,S04,A22,145,166
E01,S04,A22,167,189
E01,S04,A22,190,210
E01,S04,A22,211,233
E01,S04,A22,234,254
E01,S04,A22,255,275
E01,S04,A22,276,297
E01,S05,A07,1,20
E01,S05,A07,21,44
E01,S05,A07,45,68
E01,S05,A07,69,95
E01,S05,A07,96,121
E01,S05,A07,122,150
E01,S05,A07,151,176
E01,S05,A07,177,203
E01,S05,A07,204,230
E01,S05,A07,231,257
E01,S05,A07,258,284
E01,S05,A07,1,20
E01,S05,A07,21,46
E01,S05,A07,47,74
E01,S05,A07,106,132
E01,S05,A07,133,160
E01,S05,A07,161,188
E01,S05,A07,189,217
E01,S05,A07,218,247
E01,S05,A07,248,276
E01,S05,A09,1,19
E01,S05,A09,20,41
E01,S05,A09,42,63
E01,S05,A09,64,85
E01,S05,A09,86,108
E01,S05,A09,109,132
E01,S05,A09,133,154
E01,S05,A09,155,177
E01,S05,A09,178,199
E01,S05,A09,200,222
E01,S05,A09,223,243
E01,S05,A09,244,266
E01,S05,A09,267,287
E01,S05,A09,1,22
E01,S05,A09,23,45
E01,S05,A09,46,67
E01,S05,A09,68,90
E01,S05,A09,91,116
E01,S05,A09,117,139
E01,S05,A09,140,163
E01,S05,A09,164,185
E01,S05,A09,186,207
E01,S05,A09,208,231
E01,S05,A09,232,256
E01,S05,A09,257,281
E01,S05,A07,1,24
E01,S05,A07,25,48
E01,S05,A07,49,75
E01,S05,A07,76,103
E01,S05,A07,104,132
E01,S05,A07,133,161
E01,S05,A07,162,190
E01,S05,A07,191,218
E01,S05,A07,219,248
E01,S05,A07,249,278
E01,S05,A12,1,16
E01,S05,A12,17,33
E01,S05,A12,34,50
E01,S05,A12,51,68
E01,S05,A12,69,86
E01,S05,A12,87,107
E01,S05,A12,108,124
E01,S05,A12,125,146
E01,S05,A12,147,162
E01,S05,A12,163,181
E01,S05,A12,182,200
E01,S05,A12,201,219
E01,S05,A12,220,237
E01,S05,A12,238,256
E01,S05,A12,257,273
E01,S05,A12,274,292
E01,S05,A13,1,21
E01,S05,A13,22,40
E01,S05,A13,41,61
E01,S05,A13,62,84
E01,S05,A13,85,104
E01,S05,A13,105,127
E01,S05,A13,128,147
E01,S05,A13,148,169
E01,S05,A13,170,192
E01,S05,A13,193,216
E01,S05,A13,217,240
E01,S05,A13,241,262
E01,S05,A13,263,284
E01,S05,A13,1,20
E01,S05,A13,21,42
E01,S05,A13,43,64
E01,S05,A13,65,87
E01,S05,A13,88,108
E01,S05,A13,109,132
E01,S05,A13,133,153
E01,S05,A13,154,174
E01,S05,A13,175,197
E01,S05,A13,198,217
E01,S05,A13,218,236
E01,S05,A13,237,257
E01,S05,A13,258,278
E01,S05,A09,1,22
E01,S05,A09,23,47
E01,S05,A09,48,71
E01,S05,A09,72,98
E01,S05,A09,99,124
E01,S05,A09,125,150
E01,S05,A09,151,175
E01,S05,A09,176,200
E01,S05,A09,201,224
E01,S05,A09,225,248
E01,S05,A09,249,272
E01,S05,A09,273,297
E01,S05,A09,1,18
E01,S05,A09,19,43
E01,S05,A09,44,67
E01,S05,A09,68,92
E01,S05,A09,93,118
E01,S05,A09,119,143
E01,S05,A09,144,167
E01,S05,A09,168,194
E01,S05,A09,195,219
E01,S05,A09,220,244
E01,S05,A09,245,270
E01,S05,A09,271,295
E01,S05,A13,10,22
E01,S05,A13,23,37
E01,S05,A13,38,54
E01,S05,A13,55,66
E01,S05,A13,67,80
E01,S05,A13,81,95
E01,S05,A13,96,109
E01,S05,A13,110,124
E01,S05,A13,125,139
E01,S05,A13,140,153
E01,S05,A13,154,166
E01,S05,A13,167,180
E01,S05,A13,181,194
E01,S05,A13,195,209
E01,S05,A13,210,224
E01,S05,A13,225,238
E01,S05,A13,239,253
E01,S05,A13,254,267
E01,S05,A13,268,281
E01,S05,A13,282,294
E01,S05,A13,12,25
E01,S05,A13,26,38
E01,S05,A13,39,51
